Title,Date Written,Rating,Current/Former,Job Title,Location,Recommendation?,Outlook,Main Text,Pros,Cons,Advice to management
"""Amazing company, HR/Recruiting org needs a lot of work""","Sep 26, 2014",4.0,Former Employee,Technical Recruiter,,Recommends,Positive Outlook,Show More,"The Google perks are ridiculous and well-documented. Benefits are amazing. Great learning environment. I worked as a recruiter for ~2 years at Google and learned way more about how to be a great recruiter than I did in the previous 6 years of my career, combined. Google, as a whole, genuinely cares about their employees.","Management doesn't seem to care about anything except making themselves look good to their superiors. They have their little clique of cronies that make decisions behind the scenes without any input from the worker bees. Few opportunities for career growth, unless you kiss the proverbial ring.",
"""Closest Place To Paradise""","Sep 28, 2014",5.0,Current Employee,Regional Security Specialist,"Mountain View, CA",Recommends,Positive Outlook,Compensation isn't what I expected,"Perks like free food, great gyms, shuttle services, etc",Upward mobility is hazy,
"""Pleasant to work here""","Sep 22, 2014",5.0,Current Employee,Software Engineer,"Mountain View, CA",Recommends,Positive Outlook,- unique culture to encourage to encourage innovation,- competitive package.,"grows relatively steadily and stably, possibly fewer opportunities here than in startups",
"""Fun""","Sep 25, 2014",5.0,Current Employee,EMT,"New York, NY",Recommends,Positive Outlook,I have been working at Google full-time (More than a year),Fun alot of resources. food is amazing.,should have more input in the contracts they hand out to various companies like astreya,
"""awesome experience""","Sep 25, 2014",5.0,Current Employee,Software Engineer,"Los Angeles, CA",Recommends,Positive Outlook,I have been working at Google full-time (More than a year),"good working environment,exposure,technology,work life balance",tougher and harder to compete,
"""impressive for its size""","Oct 5, 2014",4.0,Current Employee,Anonymous Employee,,,,,"Great talent, engineering-driven, above-market compensation, (internally) open culture, loads of perks. Well-deserved reputation for having the industry's best software engineers.","It's a big company. Hard to make an impact outside your project / team, and easy to get lost. If you're entrepreneurial and want to act like an owner at a company level, this is not the place for it.",
"""great company""","Oct 9, 2014",3.0,Current Employee,Software Engineer,"San Francisco, CA",Recommends,Positive Outlook,I have been working at Google full-time (Less than a year),"great company, great vision, enjoyable work.","difficult work, takes time, can be stressful",
"""Excellent learning experience""","Sep 24, 2014",5.0,Current Employee,Software Engineer,"Mountain View, CA",Recommends,Positive Outlook,I have been working at Google full-time (Less than a year),"Sense of community is really great, campus is beautiful. Like a continuation of a intensive college experience. Would recommend to anyone who has the opportunity.","Very smart people in all divisions, can be hard to stand out at times. Lots of brogrammers and Stanford kids.",
"""Heart Throbing Experience so far""","Oct 4, 2014",4.0,Current Employee,Software Engineer,"Mont Alto, PA",Recommends,Positive Outlook,I have been working at Google full-time (More than a year),Really Smart People to work with,Many new things to learn,
"""Talent Acquisition""","Sep 23, 2014",5.0,Current Employee,Senior Recruiter,"Mountain View, CA",Recommends,Positive Outlook,I have been working at Google full-time (More than 3 years),"Great processes, strong systems, smart hiring managers, excellent employment branding","Vague career path for TA professionals,",
"""Everything is awesome, bureaucracy can be annoying (but typically not prohibitive)""","Oct 5, 2014",4.0,Current Employee,Anonymous Employee,,Recommends,,Approves of CEO,"perks, office culture, salary, benefits, personal growth","Competence of directors varies from team to team, bureaucracy can be a challenge.",
"""Great company to work for""","Oct 5, 2014",4.0,Former Employee,Brand Ambassador,"Kansas City, MO",Recommends,Neutral Outlook,I worked at Google full-time (More than a year),"good pay, great community involvement and opportunity to travel the city and see new things","micro managed, little personal life, work up to 60 hours a week and terrible benifits",
"""Corporation trying not to be corporate""","Oct 5, 2014",4.0,Current Employee,Anonymous Employee,,Recommends,,Approves of CEO,"Great place to work, good work-life balance","Can't bring my dog, traffic is bad",
"""Great place to work!""","Sep 16, 2014",5.0,Current Employee,Software Engineer,"Irvine, CA",Recommends,Positive Outlook,I have been working at Google full-time (More than a year),"Incredible perks, incredible autonomy, great coworkers, good pay, and interesting projects.",Offices only in places I don't want to live.,
"""Big company that is a good starting point.""","Sep 30, 2014",3.0,Former Employee,Project Manager,"Mountain View, CA",Recommends,Neutral Outlook,I worked at Google full-time (More than 3 years),"Lot's of ability to move around and move up if you work hard and learn the right skills. Benefits are solid, but basically industry average at this point. Compensation is competitive.",The company has slowed down to the point of frustration and re-orgs are far too common.,
"""Smart so coworkers, great atmosphere""","Oct 2, 2014",4.0,Current Employee,Anonymous Employee,,,,,"great benefits, you get to work with a lot of smart people which will increase your knowledge",which I can work remotely a few days out of the week. Too many projects at one time,
"""Decent place...""","Sep 30, 2014",4.0,Current Employee,Anonymous Employee,,,,,"free food, snacks, and plenty of distractions to balance your day...",Sometimes the direction can be a cluster...,
"""Decent place...""","Sep 30, 2014",4.0,Current Employee,Anonymous Employee,,,,,"free food, snacks, and plenty of distractions to balance your day...",Sometimes the direction can be a cluster...,
"""challenging, supportive, focused, important""","Sep 15, 2014",5.0,Current Employee,Software Engineer,"New York, NY",Recommends,Positive Outlook,I have been working at Google full-time (Less than a year),"NYC, meals, soccer team, meals, benies,","don't know yet, will find out inevitably",
"""Great, but lots of politics""","Sep 30, 2014",3.0,Former Employee,Product Manager,"Mountain View, CA",,,Get the pure manager folks out of the way. They're an unnecessary layer that limits growth and visionary thinking,Smartest people in the world.,Absolutely loathed the commute from SF.,
"""Amazing""","Sep 17, 2014",5.0,Former Employee,Developer Programs Engineer,"Mountain View, CA",Recommends,Positive Outlook,I worked at Google full-time (More than 3 years),Filled with smart people and interesting projects to work on.,It's such a big company that it is impossible to keep standards high. As a result there are people there that should be fired but can't because a large company is an easy target.,
