Title,Date Written,Rating,Current/Former,Job Title,Location,Recommendation?,Outlook,Main Text,Pros,Cons,Advice to management
"""It is one of the best company that gives maximum service to its employees.""","Feb 17, 2015",5.0,Current Employee,Tableau Developer,"Lake Hiawatha, NJ",Recommends,Positive Outlook,Approves of CEO,environment makes us to feel happy,Competitive Work experience balancing life.,
"""Senior Team Manager""","Feb 16, 2015",5.0,Current Employee,Senior Manager,"Chicago, IL",Recommends,Positive Outlook,I have been working at Charles Schwab full-time (Less than a year),Schwab is a great collaborative environment. The employees are extremely motivated and caring employees! Company has great values and treats its people with respect.,"Being in a regulated industry, thing can move a little slower at times.",Schwab believes in personal growth and provides training and resources to help you progress your career.
"""Great people and good work life balance""","Feb 9, 2015",4.0,Current Employee,Senior Manager,"San Francisco, CA",Recommends,Positive Outlook,Plus you get a 4 week sabbatical every 5 years. It's a really nice perk.,"I have worked at many different companies and can honestly say that Schwab hires very professional, highly talented, REALLY NICE people. Management goes out of their way to let you know how appreciated you are. I have learned so much from the people I work with, in this very collaborative environment.",promotions are hard to come by.,
"""Clients are #1, employees at every level are treated well.""","Feb 13, 2015",4.0,Former Employee,Anonymous Employee,,Recommends,Positive Outlook,I worked at Charles Schwab full-time,Schwab has a mission that permeates the culture of the firm--to help all investors.,Payscale is on the low side. Benefits are pretty good; vacation for senior roles is below standard.,
"""Charles Schwab""","Feb 15, 2015",4.0,Current Employee,Financial Consultant,"Chicago, IL",Recommends,Positive Outlook,Approves of CEO,"Great place to work, so much fun, I loved it, it is awesome","stuff that is bad is only bad when stuff happens, and stuff is good so that is great stuff",do it
"""VP, Financial Consultant""","Jan 29, 2015",4.0,Former Employee,"Vice President, Vice President","Los Angeles, CA",Doesn't Recommend,Positive Outlook,I worked at Charles Schwab full-time (More than 10 years),Nice working environment. No micro management. Colleagues are supportive.,HIgh sales pressure. Intense relationship with senior managment if the goals are not met.,
"""Operations Specialist""","Feb 5, 2015",5.0,Former Employee,Operations Specialist,"Phoenix, AZ",Recommends,Positive Outlook,Approves of CEO,"Good pay in a very affordable city, company provides the tools requires to do your job (technology and proprietary systems), nice locations in Arizona, two separate centers allowing for better commute.","Northern location is overcrowded, cafe is not reccomended.",
"""Most ethical place I have ever worked.""","Feb 5, 2015",5.0,Current Employee,Anonymous Employee,,Recommends,Positive Outlook,No opinion of CEO,Ethics. Intelligent people. Fast-paced. Open to my ideas.,None that I can think of.,You're doing a great job!
"""Great company, needs to pay better""","Jan 25, 2015",5.0,Current Employee,Anonymous Employee,,Recommends,Positive Outlook,I have been working at Charles Schwab full-time (More than 5 years),"Great management, all about culture",Lower than average pay at all levels,
"""Screw your employees out of bonuses and raises while the Top 5 bathe in stock options, bonuses, raises and sick wealth.""","Feb 28, 2015",1.0,Former Employee,Project Manager,"Phoenix, AZ",Doesn't Recommend,Neutral Outlook,I worked at Charles Schwab full-time (More than 5 years),Going to be hard to find 20 words but the only pro I can think of is the day one leaves.,"Micromanagement, promises of bonuses that never arrive, meager cheapy the cheapskate raises (if any), drab sad employees who look suicidal. One big sweatshop. Every thing is measured, your breathing, your time on a call, your time off a call, your time taking a crap. Everything wrong with America right now exists here...greed at the top while the others starve.","Realize that people are human, not slaves."
"""Life at schwab""","Jan 31, 2015",5.0,Former Employee,Anonymous Employee,,Recommends,,,"Great salary, great people, flexible work hous","None, I enjoyed my time at schwab.",Rehire retired employees
"""Review""","Jan 31, 2015",5.0,Former Employee,Senior QA,"Austin, TX",Recommends,Positive Outlook,Approves of CEO,"Promotions, Long term experience, good client relationship",no cons to report as of now,nothing
"""Good company, but needs consistency.""","Feb 8, 2015",3.0,Current Employee,Risk Analyst,"Denver, CO",Recommends,Positive Outlook,"How well your department is ran depends a lot on your management and directors. Some groups just can't get it together to make a clear decision on what they want or expect, or they will nitpick their employees to death.","Office culture, if you're in the right area, can be very relaxed. Reasonable dress code.","Base pay and raises aren't that great. Rents go up 10% a year in Denver right now, folks.",Make sure all areas of the company are ran with the same level of professionalism and doing what's right for the client.
"""Sr. Staff""","Jan 31, 2015",4.0,Former Employee,Anonymous Employee,,Recommends,Positive Outlook,No career growth in San Francisco,Friendly place,Outdated technologies,
"""Great Company""","Jan 28, 2015",4.0,Current Employee,Senior Product Manager,"San Francisco, CA",,,I have been working at Charles Schwab full-time (More than 10 years),Great culture set by the chairman; many wellness programs for employees; many resources,Lower pay than average; may get penalized if you speak up because your manager is always right (in some teams); a lot of mismatches in talent pool; HR is mere puppet of the management,
"""Good People but below average compensation""","Feb 7, 2015",3.0,Former Employee,Anonymous Employee,"Denver, CO",Recommends,Negative Outlook,No opinion of CEO,I loved the people I worked with and Managers on average were pretty good. The sabbatical program is excellent for those who can make it 5+ years in the company.,Compensation is below average and the bonus system is very subjective. Depending on your role you might find your department to be very under staffed/over worked.,Increase base salaries. It's not 2009 anymore.
